Trade ID,Symbol,Strategy Version,Entry timestamp,Exit timestamp,Side,Entry price,Exit price,Notional,Gross P&L,Funding P&L,Fees,Slippage,Net P&L,Equity after trade,Drawdown %,Signal,Status
14,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2021-07-26 08:00:00+00:00,2021-07-28 00:00:00+00:00,Long Spot / Short Perp,2341.96,2295.27,100000.0,0.0,20.0,649212.2,231861.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
15,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2021-07-29 08:00:00+00:00,2022-01-07 08:00:00+00:00,Long Spot / Short Perp,2322.05,3130.02,100000.0,0.0,2198.904,763289.8,272603.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
16,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2022-04-04 08:00:00+00:00,2022-04-05 00:00:00+00:00,Long Spot / Short Perp,3423.4,3525.56,100000.0,0.0,10.0,972854.4,347448.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
17,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2022-04-06 16:00:00+00:00,2022-04-07 08:00:00+00:00,Long Spot / Short Perp,3166.78,3198.03,100000.0,0.0,-9.945,891073.4,318240.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
18,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2022-10-28 00:00:00+00:00,2022-11-10 08:00:00+00:00,Long Spot / Short Perp,1493.22,1321.24,100000.0,0.0,-52.136,394024.4,140723.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
19,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2023-01-12 08:00:00+00:00,2023-06-15 00:00:00+00:00,Long Spot / Short Perp,1385.66,1639.31,100000.0,0.0,880.7100000000002,423495.8,151248.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
20,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2023-06-17 00:00:00+00:00,2023-06-19 00:00:00+00:00,Long Spot / Short Perp,1743.94,1723.71,100000.0,0.0,17.003,485471.0,173382.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
21,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2023-06-21 00:00:00+00:00,2023-07-24 16:00:00+00:00,Long Spot / Short Perp,1812.05,1849.04,100000.0,0.0,582.2720000000002,512552.6,183054.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
22,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2023-07-25 16:00:00+00:00,2023-07-26 16:00:00+00:00,Long Spot / Short Perp,1856.91,1870.98,100000.0,0.0,18.945,521904.6,186394.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
23,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2023-07-27 00:00:00+00:00,2023-08-01 08:00:00+00:00,Long Spot / Short Perp,1871.09,1834.24,100000.0,0.0,66.24000000000001,518746.2,185266.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
24,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2023-08-02 00:00:00+00:00,2023-08-02 16:00:00+00:00,Long Spot / Short Perp,1856.28,1839.07,100000.0,0.0,20.0,517349.0,184767.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
25,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2023-09-29 08:00:00+00:00,2023-09-29 16:00:00+00:00,Long Spot / Short Perp,1671.38,1666.61,100000.0,0.0,0.011999999999999999,467318.6,166899.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
26,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2023-09-30 16:00:00+00:00,2023-10-01 00:00:00+00:00,Long Spot / Short Perp,1670.18,1677.52,100000.0,0.0,-1.276,468678.0,167385.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
27,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2023-10-01 08:00:00+00:00,2023-10-03 00:00:00+00:00,Long Spot / Short Perp,1683.13,1661.64,100000.0,0.0,26.318,468267.80000000005,167238.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
28,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2023-10-21 16:00:00+00:00,2024-01-23 16:00:00+00:00,Long Spot / Short Perp,1628.29,2241.67,100000.0,0.0,3743.118999999999,541794.4,193498.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
29,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-01-31 00:00:00+00:00,2024-02-01 00:00:00+00:00,Long Spot / Short Perp,2339.73,2270.92,100000.0,0.0,25.526999999999997,645491.0,230532.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
30,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-02-06 16:00:00+00:00,2024-04-03 00:00:00+00:00,Long Spot / Short Perp,2371.74,3307.19,100000.0,0.0,4087.351,795050.2,283946.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
31,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-04-03 08:00:00+00:00,2024-04-05 08:00:00+00:00,Long Spot / Short Perp,3330.77,3328.52,100000.0,0.0,60.00000000000001,932300.6,332964.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
32,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-04-07 08:00:00+00:00,2024-04-13 00:00:00+00:00,Long Spot / Short Perp,3391.37,3258.55,100000.0,0.0,142.317,930988.8,332496.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
33,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-05-21 16:00:00+00:00,2024-06-24 08:00:00+00:00,Long Spot / Short Perp,3792.32,3278.8,100000.0,0.0,942.8740000000001,989956.8,353556.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
34,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-06-28 00:00:00+00:00,2024-06-28 08:00:00+00:00,Long Spot / Short Perp,3431.27,3411.79,100000.0,0.0,10.0,958028.3999999999,342153.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
35,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-07-01 08:00:00+00:00,2024-07-02 08:00:00+00:00,Long Spot / Short Perp,3473.86,3414.68,100000.0,0.0,20.0,964395.6000000001,344427.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
36,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-07-20 08:00:00+00:00,2024-07-21 08:00:00+00:00,Long Spot / Short Perp,3501.82,3498.64,100000.0,0.0,13.992,980064.3999999999,350023.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
37,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-07-21 16:00:00+00:00,2024-07-22 08:00:00+00:00,Long Spot / Short Perp,3534.29,3455.7,100000.0,0.0,17.616000000000003,978598.6,349499.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
38,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-07-24 00:00:00+00:00,2024-07-24 08:00:00+00:00,Long Spot / Short Perp,3445.74,3413.5,100000.0,0.0,8.396,960293.6,342962.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
39,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-09-23 16:00:00+00:00,2024-09-25 00:00:00+00:00,Long Spot / Short Perp,2645.84,2620.44,100000.0,0.0,11.086,737279.2,263314.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
40,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-09-26 16:00:00+00:00,2024-10-02 00:00:00+00:00,Long Spot / Short Perp,2631.11,2480.75,100000.0,0.0,102.55700000000002,715660.4,255593.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
41,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2024-10-14 08:00:00+00:00,2024-10-25 08:00:00+00:00,Long Spot / Short Perp,2634.95,2524.26,100000.0,0.0,289.99999999999994,722289.3999999999,257960.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
